"","date","time","year","month","doy","dow","death","cvd","resp","temp","dptp","rhum","pm10","o3"
"48",1987-02-17,48,1987,2,48,"Tuesday",111,63,6,-0.277777777777778,20.25,63.125,15.956073737,24.4680131442
"49",1987-02-18,49,1987,2,49,"Wednesday",116,61,4,-0.277777777777778,20,63.625,19.956073737,23.700802999
"50",1987-02-19,50,1987,2,50,"Thursday",115,48,15,1.11111111111111,19.625,59.625,41.9560737332,15.053158072
"51",1987-02-20,51,1987,2,51,"Friday",124,58,6,0.277777777777778,17,41.5,67.489312883,7.759679811
"52",1987-02-21,52,1987,2,52,"Saturday",119,65,6,3.33333333333333,24.5,50.75,51.956073733,3.113846481
"53",1987-02-22,53,1987,2,53,"Sunday",126,66,12,1.94444444444444,25.125,67.375,38.9560737332,10.176346481
"54",1987-02-23,54,1987,2,54,"Monday",147,74,11,1.94444444444444,24.75,64.625,39.9560737332,12.613846481
"55",1987-02-24,55,1987,2,55,"Tuesday",118,58,12,-0.277777777777778,25.25,69.625,40.9560737332,12.426346481
"56",1987-02-25,56,1987,2,56,"Wednesday",138,74,7,1.38888888888889,21.875,52.875,40.9560737332,16.718013144
"57",1987-02-26,57,1987,2,57,"Thursday",119,61,10,2.22222222222222,18.5,45,27.204426958,15.613846478
"58",1987-02-27,58,1987,2,58,"Friday",100,53,9,4.16666666666667,28.25,57.125,48.956073733,13.905513141
"59",1987-02-28,59,1987,2,59,"Saturday",119,65,7,4.44444444444444,38.375,94.5,23.956073737,6.551346481
"60",1987-03-01,60,1987,3,60,"Sunday",123,58,14,3.88888888888889,28.375,77.375,7.956073737,14.901346478
"61",1987-03-02,61,1987,3,61,"Monday",125,64,6,5,27.875,55.375,28.956073733,20.343013144
"62",1987-03-03,62,1987,3,62,"Tuesday",124,56,7,2.5,14.875,42.5,24.956073733,19.259679811
"63",1987-03-04,63,1987,3,63,"Wednesday",113,51,8,3.33333333333333,26.75,46.125,38.4916279411,5.113846481
"64",1987-03-05,64,1987,3,64,"Thursday",125,66,9,6.66666666666667,34.375,71.875,22.956073737,13.322179811
"65",1987-03-06,65,1987,3,65,"Friday",108,44,8,9.16666666666667,39.5,59.375,68.956073733,8.775078361
"66",1987-03-07,66,1987,3,66,"Saturday",114,60,8,15.2777777777778,36.875,44.5,41.9560737332,25.1138464775
"67",1987-03-08,67,1987,3,67,"Sunday",109,59,6,12.5,33.625,62.625,53.956073733,30.9888464775
"68",1987-03-09,68,1987,3,68,"Monday",126,57,7,-0.555555555555556,14,59.625,17.956073737,29.3638464775
"69",1987-03-10,69,1987,3,69,"Tuesday",113,59,5,-3.61111111111111,13.625,57.25,17.540517247,27.9055131442
"70",1987-03-11,70,1987,3,70,"Wednesday",112,62,9,-1.94444444444444,17,63.625,30.956073733,19.301346478
"71",1987-03-12,71,1987,3,71,"Thursday",125,64,5,0.833333333333333,22.375,55.75,64.956073733,19.988846478
"72",1987-03-13,72,1987,3,72,"Friday",128,72,9,1.11111111111111,33.125,88.75,39.9560737332,22.009679811
"73",1987-03-14,73,1987,3,73,"Saturday",106,50,7,2.77777777777778,33,97.125,41.9560737332,17.488846478
"74",1987-03-15,74,1987,3,74,"Sunday",113,52,10,1.66666666666667,24.5,60.75,NA,36.426346478
"75",1987-03-16,75,1987,3,75,"Monday",117,68,6,3.05555555555556,17.875,41.875,24.881200376,35.902795753
"76",1987-03-17,76,1987,3,76,"Tuesday",127,65,11,3.61111111111111,19.375,39.5,47.956073733,27.3430131442
"77",1987-03-18,77,1987,3,77,"Wednesday",120,62,13,4.16666666666667,30.25,66.625,55.956073733,19.839556348
"78",1987-03-19,78,1987,3,78,"Thursday",121,56,10,5.27777777777778,26.125,59.375,24.956073733,31.2061083823
"79",1987-03-20,79,1987,3,79,"Friday",127,64,5,6.11111111111111,16.625,40.125,20.956073737,34.513136607
"80",1987-03-21,80,1987,3,80,"Saturday",120,46,13,6.38888888888889,22.5,37,32.956073733,36.096469941
"81",1987-03-22,81,1987,3,81,"Sunday",100,53,6,8.88888888888889,32.375,53.375,35.8316906508,35.554803274
"82",1987-03-23,82,1987,3,82,"Monday",125,63,6,11.9444444444444,35.25,41.625,62.956073733,30.9846798108
"83",1987-03-24,83,1987,3,83,"Tuesday",132,73,5,14.1666666666667,46.125,75,50.956073733,25.1555131442
"84",1987-03-25,84,1987,3,84,"Wednesday",134,67,9,7.22222222222222,40.125,90.125,6.956073737,14.405513144
"85",1987-03-26,85,1987,3,85,"Thursday",107,63,6,7.22222222222222,40.25,86.625,35.9560737332,14.647937387
"86",1987-03-27,86,1987,3,86,"Friday",102,57,6,6.11111111111111,38.5,78.875,39.9560737332,16.155513144
"87",1987-03-28,87,1987,3,87,"Saturday",128,68,2,7.77777777777778,35,76.75,31.627337621,19.801346478
"88",1987-03-29,88,1987,3,88,"Sunday",101,43,5,4.16666666666667,30.125,89.75,29.956073733,20.502735366
"89",1987-03-30,89,1987,3,89,"Monday",125,66,13,-1.66666666666667,12.875,52.75,19.956073737,29.9680131442
"90",1987-03-31,90,1987,3,90,"Tuesday",106,53,3,-1.11111111111111,19,49.625,35.9560737332,24.2487535244
"91",1987-04-01,91,1987,4,91,"Wednesday",119,57,7,5.27777777777778,22.875,58.125,28.956073733,21.606096154
"92",1987-04-02,92,1987,4,92,"Thursday",91,48,9,-1.38888888888889,14.625,54.5,36.9560737332,22.458034682
"93",1987-04-03,93,1987,4,93,"Friday",120,53,9,-2.22222222222222,17.375,58,19.009422817,17.110884423
"94",1987-04-04,94,1987,4,94,"Saturday",123,54,7,1.94444444444444,17.125,37.875,18.956073737,28.7373048776
"95",1987-04-05,95,1987,4,95,"Sunday",108,58,5,6.38888888888889,33,63.625,10.956073737,36.246417254
"96",1987-04-06,96,1987,4,96,"Monday",117,56,10,10,21.25,30.375,11.956073737,32.1150056279
"97",1987-04-07,97,1987,4,97,"Tuesday",134,53,15,9.72222222222222,30.875,53.25,20.956073737,26.1494929885
"98",1987-04-08,98,1987,4,98,"Wednesday",120,61,6,4.44444444444444,31.375,74.25,11.956073737,21.924804878
"99",1987-04-09,99,1987,4,99,"Thursday",120,55,8,10,28.5,31.25,76.348650349,16.050230756
"100",1987-04-10,100,1987,4,100,"Friday",110,54,7,15.2777777777778,44.875,76.25,61.956073733,22.44458927
"101",1987-04-11,101,1987,4,101,"Saturday",111,48,8,10.5555555555556,45.625,95,16.956073737,29.4750618554
"102",1987-04-12,102,1987,4,102,"Sunday",129,60,19,9.72222222222222,43.125,78.625,29.956073733,26.3808312671
"103",1987-04-13,103,1987,4,103,"Monday",93,53,8,8.88888888888889,47.25,76,39.9560737332,18.523341096
"104",1987-04-14,104,1987,4,104,"Tuesday",140,79,7,11.3888888888889,51.5,96,25.956073733,14.070960144
"105",1987-04-15,105,1987,4,105,"Wednesday",106,54,11,10.8333333333333,50.125,96.875,29.395153167,17.815355077
"106",1987-04-16,106,1987,4,106,"Thursday",110,51,7,12.2222222222222,49.25,85.75,19.257751547,22.803450315
"107",1987-04-17,107,1987,4,107,"Friday",115,64,13,14.1666666666667,47,62.75,35.9560737332,19.910593172
"108",1987-04-18,108,1987,4,108,"Saturday",106,57,7,16.3888888888889,49.875,53,98.956073733,31.7291004483
"109",1987-04-19,109,1987,4,109,"Sunday",105,47,9,17.7777777777778,53,57,NA,32.9552909245
"110",1987-04-20,110,1987,4,110,"Monday",120,57,9,21.6666666666667,55.75,45.625,47.956073733,41.771726441
"111",1987-04-21,111,1987,4,111,"Tuesday",97,44,10,13.3333333333333,39,83.375,34.5146421453,20.982826322
"112",1987-04-22,112,1987,4,112,"Wednesday",136,73,7,8.33333333333333,45.625,100,20.956073737,9.602617991
"113",1987-04-23,113,1987,4,113,"Thursday",112,58,4,11.1111111111111,43.75,86.875,18.956073737,10.591295521
"114",1987-04-24,114,1987,4,114,"Friday",108,43,10,9.44444444444444,30.75,51.875,8.956073737,28.2224096552
"115",1987-04-25,115,1987,4,115,"Saturday",130,61,7,10.5555555555556,32.5,43.5,22.956073737,27.4616643821
"116",1987-04-26,116,1987,4,116,"Sunday",102,48,6,13.8888888888889,33.875,38.75,50.956073733,32.7979473531
"117",1987-04-27,117,1987,4,117,"Monday",107,57,7,13.6111111111111,31.625,42.875,34.1289016,36.268452648
"118",1987-04-28,118,1987,4,118,"Tuesday",118,61,4,11.9444444444444,28.625,28.875,64.956073733,22.733748354
"119",1987-04-29,119,1987,4,119,"Wednesday",110,51,9,18.0555555555556,34.625,47.5,53.956073733,34.781650423
"120",1987-04-30,120,1987,4,120,"Thursday",101,52,6,7.77777777777778,16.625,31.25,11.956073737,35.523444048
"121",1987-05-01,121,1987,5,121,"Friday",117,56,5,11.9444444444444,39,54.5,58.956073733,20.300419584
"122",1987-05-02,122,1987,5,122,"Saturday",123,61,11,11.6666666666667,47.375,87.25,22.956073737,25.3829478707
"123",1987-05-03,123,1987,5,123,"Sunday",110,56,6,7.22222222222222,35,71.5,18.007662927,27.8907032081
"124",1987-05-04,124,1987,5,124,"Monday",108,60,7,8.88888888888889,29.375,47.75,18.956073737,31.2894696889
"125",1987-05-05,125,1987,5,125,"Tuesday",134,67,11,10.2777777777778,32.625,53.625,52.956073733,23.424485715
"126",1987-05-06,126,1987,5,126,"Wednesday",131,64,9,14.4444444444444,40.125,39.625,NA,32.0067020759
"127",1987-05-07,127,1987,5,127,"Thursday",126,67,9,15.2777777777778,40.875,51.25,33.956073733,30.2598570914
"128",1987-05-08,128,1987,5,128,"Friday",108,43,7,15,33.375,32.25,46.956073733,17.324130474
"129",1987-05-09,129,1987,5,129,"Saturday",112,56,6,20.8333333333333,43.75,31.875,55.14429347,43.691633171
"130",1987-05-10,130,1987,5,130,"Sunday",116,57,8,23.6111111111111,51.5,41.375,NA,44.115002918
"131",1987-05-11,131,1987,5,131,"Monday",131,59,16,21.6666666666667,58,72.75,73.956073733,45.417271425
"132",1987-05-12,132,1987,5,132,"Tuesday",123,63,2,10.8333333333333,32.75,54.25,4.956073737,25.8776107146
"133",1987-05-13,133,1987,5,133,"Wednesday",104,57,7,15,53,57.125,12.956073737,27.1195036232
"134",1987-05-14,134,1987,5,134,"Thursday",123,65,13,20.5555555555556,53.375,59.25,NA,39.654474879
"135",1987-05-15,135,1987,5,135,"Friday",105,42,9,13.6111111111111,33.875,44.375,19.474014777,24.6641141304
"136",1987-05-16,136,1987,5,136,"Saturday",108,43,11,16.9444444444444,42.625,35.125,39.9560737332,32.3965471809
"137",1987-05-17,137,1987,5,137,"Sunday",123,53,8,21.3888888888889,63.625,66,55.956073733,51.020730141
"138",1987-05-18,138,1987,5,138,"Monday",134,62,12,19.1666666666667,57.625,94.5,NA,25.6682882844
"139",1987-05-19,139,1987,5,139,"Tuesday",101,48,12,19.7222222222222,61.125,85.625,34.9560737332,26.9074510691
"140",1987-05-20,140,1987,5,140,"Wednesday",114,55,7,19.1666666666667,59.75,88.125,39.9560737332,15.88621558
"141",1987-05-21,141,1987,5,141,"Thursday",125,59,4,23.3333333333333,66.75,61,42.5482194246,33.9374384058
"142",1987-05-22,142,1987,5,142,"Friday",111,52,8,16.3888888888889,49.75,76.25,NA,12.561128611
"143",1987-05-23,143,1987,5,143,"Saturday",107,54,3,10.5555555555556,45.625,86.875,5.956073737,11.112030801
"144",1987-05-24,144,1987,5,144,"Sunday",105,58,7,10.2777777777778,45.125,81,NA,19.763346544
"145",1987-05-25,145,1987,5,145,"Monday",115,52,17,14.1666666666667,62.875,95.375,42.9560737332,13.559463231
"146",1987-05-26,146,1987,5,146,"Tuesday",106,52,6,22.7777777777778,67.625,68.625,20.956073737,30.1147889356
"147",1987-05-27,147,1987,5,147,"Wednesday",113,57,12,25.8333333333333,67.375,68.625,39.6152191948,31.3471832119
"148",1987-05-28,148,1987,5,148,"Thursday",104,44,8,25.8333333333333,65.75,67.625,41.9560737332,29.7066899642
"149",1987-05-29,149,1987,5,149,"Friday",106,54,7,25.8333333333333,67.125,71.125,42.9560737332,26.8992665452
"150",1987-05-30,150,1987,5,150,"Saturday",115,62,10,24.4444444444444,65.625,79.5,27.956073733,22.518280797
"151",1987-05-31,151,1987,5,151,"Sunday",102,54,4,24.4444444444444,60.125,57.75,24.956073733,32.1871796066
"152",1987-06-01,152,1987,6,152,"Monday",112,60,5,23.6111111111111,68.5,71.875,22.956073737,34.94622833
"153",1987-06-02,153,1987,6,153,"Tuesday",111,57,7,22.2222222222222,64.75,95.25,31.31339216,18.966197464
"154",1987-06-03,154,1987,6,154,"Wednesday",120,59,9,20.5555555555556,47.25,47.125,34.9560737332,23.592695721
"155",1987-06-04,155,1987,6,155,"Thursday",103,50,14,17.2222222222222,45,49.125,37.9560737332,21.052104084
"156",1987-06-05,156,1987,6,156,"Friday",98,43,8,21.1111111111111,54.875,61.625,53.956073733,33.2273013009
"157",1987-06-06,157,1987,6,157,"Saturday",101,46,8,21.6666666666667,54.625,48.5,49.956073733,43.910773854
"158",1987-06-07,158,1987,6,158,"Sunday",102,45,8,25.2777777777778,58.125,45.75,38.9560737332,51.020148854
"159",1987-06-08,159,1987,6,159,"Monday",143,74,8,23.6111111111111,60.25,76.75,47.381552758,49.456290159
"160",1987-06-09,160,1987,6,160,"Tuesday",88,30,7,14.1666666666667,41.125,56.5,7.956073737,30.2502629161
"161",1987-06-10,161,1987,6,161,"Wednesday",106,57,3,16.1111111111111,51,55.125,42.9560737332,29.3252176262
"162",1987-06-11,162,1987,6,162,"Thursday",96,45,3,22.5,68.75,90.375,38.9560737332,28.3943912785
"163",1987-06-12,163,1987,6,163,"Friday",117,58,13,26.6666666666667,62,54.125,33.956073733,29.4371751085
"164",1987-06-13,164,1987,6,164,"Saturday",97,49,6,25,62,50.25,65.956073733,40.179694048
"165",1987-06-14,165,1987,6,165,"Sunday",146,63,11,28.3333333333333,68.5,54.125,40.5652333653,46.014076322
"166",1987-06-15,166,1987,6,166,"Monday",120,56,14,23.0555555555556,48.5,44.625,20.956073737,33.7822755696
"167",1987-06-16,167,1987,6,167,"Tuesday",109,49,6,23.8888888888889,52.875,47.5,38.9560737332,33.2717079368
"168",1987-06-17,168,1987,6,168,"Wednesday",112,59,11,25,61,48,63.956073733,55.103320438
"169",1987-06-18,169,1987,6,169,"Thursday",132,69,12,26.9444444444444,62.75,47.5,82.956073733,63.566131369
"170",1987-06-19,170,1987,6,170,"Friday",106,55,4,25.2777777777778,61.375,48.625,72.956073733,47.980014977
"171",1987-06-20,171,1987,6,171,"Saturday",122,51,8,25,73.625,99.625,57.231900032,46.484403909
"172",1987-06-21,172,1987,6,172,"Sunday",112,51,6,24.4444444444444,71.125,82.625,34.9560737332,33.5049993124
"173",1987-06-22,173,1987,6,173,"Monday",117,58,3,19.4444444444444,59,72.25,44.956073733,25.7034411891
"174",1987-06-23,174,1987,6,174,"Tuesday",100,45,7,22.5,57.75,56.625,41.9560737332,33.0240396574
"175",1987-06-24,175,1987,6,175,"Wednesday",108,48,11,24.4444444444444,65.75,60,55.956073733,49.908362242
"176",1987-06-25,176,1987,6,176,"Thursday",126,62,7,21.3888888888889,62,76.25,45.956073733,33.8935348702
"177",1987-06-26,177,1987,6,177,"Friday",105,49,5,20.5555555555556,50.75,51.375,27.596266233,20.920460743
"178",1987-06-27,178,1987,6,178,"Saturday",111,55,7,18.0555555555556,48.25,54.375,28.956073733,22.139210743
"179",1987-06-28,179,1987,6,179,"Sunday",122,51,5,22.2222222222222,53.625,44.625,26.956073733,31.9758103702
"180",1987-06-29,180,1987,6,180,"Monday",108,53,6,22.5,66,84.375,35.9560737332,28.0986129483
"181",1987-06-30,181,1987,6,181,"Tuesday",106,47,11,21.3888888888889,63,81.875,35.9560737332,19.296903909
"182",1987-07-01,182,1987,7,182,"Wednesday",104,54,6,20.2777777777778,60.625,74.25,14.956073737,33.5133465442
"183",1987-07-02,183,1987,7,183,"Thursday",120,59,10,21.6666666666667,60.25,57.625,41.6923080946,37.019441788
"184",1987-07-03,184,1987,7,184,"Friday",112,47,6,25.2777777777778,60.375,61.25,40.9560737332,43.373130169
"185",1987-07-04,185,1987,7,185,"Saturday",101,45,4,22.5,59.5,65.25,16.956073737,32.6909802825
"186",1987-07-05,186,1987,7,186,"Sunday",114,58,3,22.5,69.125,91.625,NA,23.435759914
"187",1987-07-06,187,1987,7,187,"Monday",113,57,8,26.6666666666667,69,64,25.931021109,32.1036932988
"188",1987-07-07,188,1987,7,188,"Tuesday",119,58,7,26.6666666666667,69.125,64.75,NA,34.611938174
"189",1987-07-08,189,1987,7,189,"Wednesday",126,61,7,26.9444444444444,69.25,59.625,36.1216768827,31.7380706685
"190",1987-07-09,190,1987,7,190,"Thursday",108,47,7,26.9444444444444,67.625,80.375,23.803351699,25.6986207921
"191",1987-07-10,191,1987,7,191,"Friday",95,50,6,26.6666666666667,67.625,87,25.650512584,23.921423141
"192",1987-07-11,192,1987,7,192,"Saturday",125,59,10,26.6666666666667,73.5,65.125,71.588463963,29.3693845284
"193",1987-07-12,193,1987,7,193,"Sunday",119,61,9,26.3888888888889,65.5,67.25,39.5947619166,29.9944055999
"194",1987-07-13,194,1987,7,194,"Monday",77,33,3,18.0555555555556,58.75,79.5,25.543815544,10.507679074
"195",1987-07-14,195,1987,7,195,"Tuesday",113,64,4,19.4444444444444,53,58.375,19.946758052,22.417487106
"196",1987-07-15,196,1987,7,196,"Wednesday",110,53,6,17.2222222222222,54.375,77.5,9.498862864,23.399915026
"197",1987-07-16,197,1987,7,197,"Thursday",108,53,12,18.6111111111111,58.625,60.375,19.211347241,32.7255600884
"198",1987-07-17,198,1987,7,198,"Friday",102,46,5,25.5555555555556,67,59,31.531578131,42.946897178
"199",1987-07-18,199,1987,7,199,"Saturday",110,52,8,26.3888888888889,68.375,61.375,43.5285045381,48.120032633
"200",1987-07-19,200,1987,7,200,"Sunday",129,60,7,29.1666666666667,73.625,64,64.576011135,47.346678259
"201",1987-07-20,201,1987,7,201,"Monday",140,67,7,27.5,67.625,75.625,63.236131834,41.348751554
"202",1987-07-21,202,1987,7,202,"Tuesday",105,57,7,27.2222222222222,71.25,68.75,50.54648561,58.98016147
"203",1987-07-22,203,1987,7,203,"Wednesday",110,59,8,26.9444444444444,69.625,63.125,90.559142374,45.537316028
"204",1987-07-23,204,1987,7,204,"Thursday",121,57,12,27.7777777777778,70,61.25,109.549710217,59.10817976
"205",1987-07-24,205,1987,7,205,"Friday",110,65,8,28.3333333333333,71.25,64.75,73.195741244,35.648192825
"206",1987-07-25,206,1987,7,206,"Saturday",115,65,9,29.1666666666667,71.125,66.5,45.673637838,43.618586915
"207",1987-07-26,207,1987,7,207,"Sunday",105,60,3,25.8333333333333,66.25,82.125,28.615099424,27.770955301
"208",1987-07-27,208,1987,7,208,"Monday",112,56,10,21.6666666666667,62.625,68.125,24.732321349,15.682463598
"209",1987-07-28,209,1987,7,209,"Tuesday",109,63,3,22.5,63.25,65.125,31.305757017,20.264229217
"210",1987-07-29,210,1987,7,210,"Wednesday",125,56,13,25.5555555555556,70.25,80,17.76402906,24.9026143232
"211",1987-07-30,211,1987,7,211,"Thursday",92,50,5,26.3888888888889,72.375,74.375,67.840884317,50.628553338
"212",1987-07-31,212,1987,7,212,"Friday",110,44,7,26.9444444444444,75.75,80.5,40.8349094749,38.665700595
"213",1987-08-01,213,1987,8,213,"Saturday",113,41,10,30.5555555555556,75.25,64,55.311934508,39.701367215
"214",1987-08-02,214,1987,8,214,"Sunday",115,57,10,30,73.875,73.5,38.9245321166,46.911212132
"215",1987-08-03,215,1987,8,215,"Monday",137,65,11,28.3333333333333,68.625,64.875,47.009238155,30.5391158249
"216",1987-08-04,216,1987,8,216,"Tuesday",112,52,12,23.8888888888889,60.625,69.25,14.021348698,21.717351485
"217",1987-08-05,217,1987,8,217,"Wednesday",126,56,13,22.2222222222222,55.75,59.625,8.107946783,21.012364721
"218",1987-08-06,218,1987,8,218,"Thursday",111,54,5,22.2222222222222,62.125,58,43.0751881607,29.8324521861
"219",1987-08-07,219,1987,8,219,"Friday",95,37,7,26.3888888888889,67.375,66.625,49.096476033,45.495225026
"220",1987-08-08,220,1987,8,220,"Saturday",113,59,2,23.0555555555556,73.625,96.25,49.244937377,23.715311389
"221",1987-08-09,221,1987,8,221,"Sunday",107,59,4,22.5,64.125,78,22.280674054,26.684336523
"222",1987-08-10,222,1987,8,222,"Monday",96,46,5,21.6666666666667,63.125,75.25,17.33985802,30.2461157193
"223",1987-08-11,223,1987,8,223,"Tuesday",98,44,8,23.6111111111111,61.875,65.125,34.346229016,34.153020611
"224",1987-08-12,224,1987,8,224,"Wednesday",83,36,7,24.4444444444444,63.625,66,73.346229016,37.313194145
"225",1987-08-13,225,1987,8,225,"Thursday",121,56,4,24.1666666666667,69.5,78.375,63.015441129,36.248137383
"226",1987-08-14,226,1987,8,226,"Friday",107,50,8,23.3333333333333,74.625,82.375,44.2458979779,24.4733948987
"227",1987-08-15,227,1987,8,227,"Saturday",115,47,10,26.3888888888889,75.875,76.75,34.619354016,33.2751806934
"228",1987-08-16,228,1987,8,228,"Sunday",125,63,11,26.6666666666667,73.875,80.375,36.2610597372,32.1736747407
"229",1987-08-17,229,1987,8,229,"Monday",120,59,9,23.0555555555556,60.25,65.75,32.512848973,26.4039724746
"230",1987-08-18,230,1987,8,230,"Tuesday",102,42,4,20.8333333333333,64.25,79.125,41.4531005463,14.2616524
"231",1987-08-19,231,1987,8,231,"Wednesday",102,49,5,21.1111111111111,56.75,64,28.967101163,19.188119542
"232",1987-08-20,232,1987,8,232,"Thursday",118,51,8,21.1111111111111,62.625,57,42.238006206,31.0578183469
"233",1987-08-21,233,1987,8,233,"Friday",118,51,8,24.4444444444444,72.5,70.75,36.1543584075,37.893605527
"234",1987-08-22,234,1987,8,234,"Saturday",107,52,8,21.9444444444444,54.625,70.75,25.156718199,24.0917347184
"235",1987-08-23,235,1987,8,235,"Sunday",107,54,8,17.2222222222222,49,61.75,17.248181857,17.882777193
"236",1987-08-24,236,1987,8,236,"Monday",133,56,11,16.3888888888889,51.375,65.75,36.3168925462,12.604693622
"237",1987-08-25,237,1987,8,237,"Tuesday",107,53,10,15,58,98.75,34.5259214347,7.176509542
"238",1987-08-26,238,1987,8,238,"Wednesday",96,45,6,16.6666666666667,63.25,97,43.2810434901,8.605950462
